product_code,name_en,name_ar,price_per_unit,unit_item,minimum_quantity,delivery_days_min,delivery_days_max,delivery_method,seller_code,active_ingredient,side_effects,prescription_required,in_stock,quantity_available,stock_alert_level,category,manufacturer,country_of_origin,storage_conditions,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,image_url_6,image_url_7,product_specs_dosage,product_specs_form,product_specs_package_size,usage_instructions_en,usage_instructions_ar,warnings_en,warnings_ar,extra_information
MED-PARA-500,Paracetamol Extra Strength 500mg,باراسيتامول إكسترا 500 ملجم,32.50,strip,1,1,2,courier|pickup,SELLER001,Paracetamol 500mg,"Rare: Allergic reactions, skin rash. Overdose can cause liver damage",FALSE,TRUE,850,50,Pain Relief,EgyPharma,Egypt,Store below 25°C,https://example.com/para1.jpg,https://example.com/para2.jpg,https://example.com/para3.jpg,,,,500mg,Tablets,20 tablets per strip,"Take 1-2 tablets every 4-6 hours as needed. Do not exceed 8 tablets in 24 hours","تناول 1-2 قرص كل 4-6 ساعات حسب الحاجة. لا تتجاوز 8 أقراص في 24 ساعة","Do not use if allergic to paracetamol. Consult doctor if symptoms persist","لا تستخدم إذا كان لديك حساسية من الباراسيتامول. استشر الطبيب إذا استمرت الأعراض","{""indication"": ""Pain and fever relief"", ""contraindication"": ""Severe liver disease""}"
MED-AMOX-500,Amoxicillin 500mg Antibiotic Capsules,أموكسيسيلين 500 ملجم كبسولات,145.00,box,1,1,3,courier,SELLER002,Amoxicillin 500mg,"Common: Nausea, diarrhea, skin rash. Rare: Severe allergic reactions",TRUE,TRUE,320,30,Antibiotics,Pharco,Egypt,Store in cool dry place,https://example.com/amox1.jpg,https://example.com/amox2.jpg,,,,,,500mg,Capsules,14 capsules per box,"Take 1 capsule 3 times daily for 7-14 days as prescribed","تناول كبسولة واحدة 3 مرات يومياً لمدة 7-14 يوم حسب الوصفة الطبية","Complete full course even if feeling better. Do not share with others","أكمل الجرعة الكاملة حتى لو شعرت بتحسن. لا تشارك الدواء مع الآخرين","{""indication"": ""Bacterial infections"", ""duration"": ""7-14 days course""}"
MED-VITD-5000,Vitamin D3 5000 IU Softgels,فيتامين د3 5000 وحدة دولية,156.75,bottle,1,2,4,courier|pickup,SELLER003,Cholecalciferol (Vitamin D3) 5000 IU,"Rare: Hypercalcemia with excessive doses, nausea, weakness",FALSE,TRUE,450,25,Vitamins & Supplements,Vitabiotics,UK,Store at room temperature away from moisture,https://example.com/vitd1.jpg,https://example.com/vitd2.jpg,https://example.com/vitd3.jpg,https://example.com/vitd4.jpg,,,5000 IU,Softgels,60 softgels per bottle,"Take 1 softgel daily with food or as directed by healthcare provider","تناول كبسولة واحدة يومياً مع الطعام أو حسب توجيهات الطبيب","Do not exceed recommended dose. Keep out of reach of children","لا تتجاوز الجرعة الموصى بها. يحفظ بعيداً عن متناول الأطفال","{""benefits"": ""Bone health, immune support, muscle function""}"
MED-METF-850,Metformin 850mg for Diabetes Control,ميتفورمين 850 ملجم للسكري,78.00,box,1,1,2,courier,SELLER001,Metformin HCl 850mg,"Common: GI upset, diarrhea, nausea. Rare: Lactic acidosis",TRUE,TRUE,280,40,Diabetes Care,Eva Pharma,Egypt,Store below 30°C,https://example.com/metf1.jpg,https://example.com/metf2.jpg,https://example.com/metf3.jpg,,,,850mg,Tablets,30 tablets per box,"Take with meals as prescribed, usually 1-2 times daily","تناول مع الوجبات حسب الوصفة الطبية، عادة 1-2 مرة يومياً","Regular blood sugar monitoring required. Avoid alcohol","مطلوب مراقبة منتظمة لسكر الدم. تجنب الكحول","{""indication"": ""Type 2 diabetes mellitus"", ""monitoring"": ""Regular blood glucose checks required""}"
MED-ATOR-20,Atorvastatin 20mg Cholesterol Control,أتورفاستاتين 20 ملجم للكوليسترول,198.50,box,1,1,3,courier|pickup,SELLER002,Atorvastatin Calcium 20mg,"Common: Muscle pain, headache. Rare: Liver problems, rhabdomyolysis",TRUE,TRUE,195,20,Heart & Blood Pressure,Sigma,Egypt,Store at room temperature,https://example.com/ator1.jpg,https://example.com/ator2.jpg,,,,,,20mg,Tablets,30 tablets per box,"Take once daily at the same time, with or without food","تناول مرة واحدة يومياً في نفس الوقت، مع أو بدون طعام","Regular liver function tests recommended. Report muscle pain immediately","يوصى بفحوصات منتظمة لوظائف الكبد. أبلغ عن آلام العضلات فوراً","{""indication"": ""High cholesterol, cardiovascular disease prevention""}"
MED-GLUC-100,Blood Glucose Test Strips 100 Count,شرائط فحص السكر 100 شريط,295.00,box,2,1,2,courier|pickup,SELLER003,N/A,N/A,FALSE,TRUE,180,30,Diabetes Care,OneTouch,USA,Store in cool dry place,https://example.com/strips1.jpg,https://example.com/strips2.jpg,https://example.com/strips3.jpg,https://example.com/strips4.jpg,https://example.com/strips5.jpg,,,N/A,Test Strips,100 strips per box,"Use with compatible glucose meter. Follow meter instructions","استخدم مع جهاز قياس السكر المتوافق. اتبع تعليمات الجهاز","Single use only. Check expiry date before use","للاستخدام مرة واحدة فقط. تحقق من تاريخ الانتهاء قبل الاستخدام","{""compatibility"": ""OneTouch Ultra meters"", ""sample_size"": ""Small blood sample required""}"
MED-OMEP-40,Omeprazole 40mg Gastro Protection,أوميبرازول 40 ملجم لحماية المعدة,165.00,box,1,1,2,courier,SELLER001,Omeprazole 40mg,"Common: Headache, nausea, diarrhea. Long-term: B12 deficiency",TRUE,TRUE,225,35,Digestive Health,Hikma,Jordan,Store below 25°C protected from light,https://example.com/omep1.jpg,https://example.com/omep2.jpg,https://example.com/omep3.jpg,,,,40mg,Capsules,14 capsules per box,"Take 30 minutes before meals, usually once daily","تناول قبل 30 دقيقة من الوجبات، عادة مرة واحدة يومياً","Do not crush or chew capsules. May mask stomach cancer symptoms","لا تسحق أو تمضغ الكبسولات. قد يخفي أعراض سرطان المعدة","{""indication"": ""GERD, peptic ulcers, acid reflux""}"
MED-IBUP-600,Ibuprofen 600mg Anti-inflammatory,إيبوبروفين 600 ملجم مضاد للالتهاب,48.75,strip,1,1,2,courier|pickup,SELLER002,Ibuprofen 600mg,"Common: GI upset, heartburn. Rare: GI bleeding, kidney problems",FALSE,TRUE,620,60,Pain Relief,Kahira Pharma,Egypt,Store at room temperature,https://example.com/ibup1.jpg,https://example.com/ibup2.jpg,,,,,,600mg,Tablets,10 tablets per strip,"Take with food every 6-8 hours as needed. Maximum 2400mg daily","تناول مع الطعام كل 6-8 ساعات حسب الحاجة. الحد الأقصى 2400 ملجم يومياً","Avoid if history of stomach ulcers. May increase heart attack risk","تجنب إذا كان لديك تاريخ من قرحة المعدة. قد يزيد من خطر النوبة القلبية","{""indication"": ""Pain, inflammation, fever"", ""class"": ""NSAID""}"
MED-IRON-100,Ferrous Sulfate 100mg Iron Supplement,كبريتات الحديد 100 ملجم مكمل الحديد,67.25,bottle,1,2,3,courier,SELLER003,Ferrous Sulfate 100mg elemental iron,"Common: Constipation, dark stools, nausea. Rare: Allergic reactions",FALSE,TRUE,340,40,Vitamins & Supplements,NOW Foods,USA,Store in cool dry place,https://example.com/iron1.jpg,https://example.com/iron2.jpg,https://example.com/iron3.jpg,https://example.com/iron4.jpg,,,,100mg,Tablets,90 tablets per bottle,"Take on empty stomach if tolerated, or with food to reduce GI upset","تناول على معدة فارغة إذا أمكن، أو مع الطعام لتقليل اضطراب المعدة","Keep away from children - iron overdose can be fatal","احفظه بعيداً عن الأطفال - جرعة زائدة من الحديد قد تكون قاتلة","{""indication"": ""Iron deficiency anemia"", ""absorption"": ""Vitamin C enhances absorption""}"
MED-LEVO-500,Levofloxacin 500mg Antibiotic,ليفوفلوكساسين 500 ملجم مضاد حيوي,235.00,box,1,1,3,courier,SELLER001,Levofloxacin 500mg,"Common: Nausea, diarrhea, headache. Serious: Tendon rupture, nerve damage",TRUE,TRUE,145,25,Antibiotics,Sanofi,France,Store at room temperature protected from light,https://example.com/levo1.jpg,https://example.com/levo2.jpg,https://example.com/levo3.jpg,https://example.com/levo4.jpg,https://example.com/levo5.jpg,https://example.com/levo6.jpg,https://example.com/levo7.jpg,500mg,Tablets,7 tablets per box,"Take once daily at the same time. Can be taken with or without food","تناول مرة واحدة يومياً في نفس الوقت. يمكن تناوله مع أو بدون طعام","Avoid sun exposure. Stop if tendon pain occurs. May cause dizziness","تجنب التعرض للشمس. توقف إذا حدث ألم في الأوتار. قد يسبب دوخة","{""indication"": ""Serious bacterial infections"", ""duration"": ""5-14 days depending on infection"", ""black_box_warning"": ""Increased risk of tendon rupture and peripheral neuropathy""}"
